name,fat,carbohydrat,protein,Fe,Mg,Na,K,Ca,Zn,Se,Cu,C,D,B12,E,A
almond,68.0,8.0,41.0,23.0,63.0,10.0,0,20.0,29.0,1.0,108.0,0.0,0,0,110,0
amaretto,0.0,12.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
anchovy,12.0,0.0,58.0,26.0,16.0,159.0,10,18.0,22.0,124.0,38.0,0.0,8,37,22,1
anise,12.0,0.0,58.0,26.0,16.0,159.0,10,18.0,22.0,124.0,38.0,0.0,8,37,22,1
apple,1.0,5.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0,0,0,0
apple juice,0.0,5.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
apricot,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20.0,0,0,0,0
artichoke,0.0,4.0,6.0,3.0,10.0,3.0,12,2.0,4.0,0.0,14.0,8.0,0,0,1,0
arugula,1.0,1.0,6.0,8.0,0.0,1.0,90,12.0,0.0,0.0,0.0,16.0,0,0,0,13
asian pear,1.0,1.0,6.0,8.0,0.0,1.0,90,12.0,0.0,0.0,0.0,16.0,0,0,0,13
asparagus,0.0,1.0,5.0,13.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
avocado,18.0,3.0,4.0,2.0,2.0,38.0,81,3.0,2.0,3.0,1.0,0.0,0,11,31,1
bacon,57.0,0.0,14.0,0.0,0.0,34.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
banana,8.0,15.0,25.0,6.0,0.0,26.0,0,10.0,0.0,0.0,0.0,17.0,0,0,0,0
barley,4.0,10.0,4.0,7.0,5.0,9.0,2,1.0,7.0,15.0,11.0,0.0,0,0,2,3
basil,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
bass,0.3,4.0,32.0,6.0,9.0,17.0,10,2.0,4.0,56.0,5.0,0.0,22,10,19,4
bean,5.0,6.0,11.0,9.0,10.0,19.0,1,2.0,6.0,14.0,22.0,1.0,0,0,6,0
beef,8.0,0.0,40.0,24.0,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
beef rib,9.0,0.0,43.0,10.0,5.0,2.0,0,1.0,36.0,5.0,5.0,0.0,37,49,5,1
beef shank,5.0,0.0,44.0,13.0,3.0,3.0,0,2.0,63.0,32.0,8.0,0.0,0,139,0,0
beef tenderloin,10.0,0.0,41.0,13.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
beer,0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0,1,0,0
beet,0.0,6.0,2.0,2.0,4.0,6.0,0,1.0,2.0,2.0,13.0,3.0,0,0,0,0
bell pepper,0.0,2.0,1.0,1.0,2.0,0.0,0,1.0,1.0,0.0,6.0,111.0,0,0,0,0
berry,0.0,5.0,2.0,3.0,3.0,0.0,10,1.0,2.0,1.0,7.0,19.0,0,0,5,0
biscuit,16.0,12.0,16.0,13.0,0.0,24.0,0,31.0,0.0,0.0,0.0,0.0,0,0,0,0
blackberry,0.0,2.0,1.0,233.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0,0,0,0
blue cheese,23.0,1.0,43.0,0.0,0.0,59.0,0,41.0,0.0,0.0,0.0,0.0,0,0,0,0
blueberry,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
bok choy,0.0,1.0,2.0,2.0,3.0,1.0,0,5.0,2.0,0.0,3.0,34.0,0,0,0,0
bourbon,0.0,19.0,21.0,24.0,34.0,4.0,0,0.0,49.0,0.0,0.0,0.0,0,0,0,0
bran,8.0,16.0,19.0,22.0,10.0,20.0,3,7.0,10.0,58.0,24.0,0.0,0,0,0,0
brandy,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
bread,0.0,12.0,7.0,0.0,0.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
breadcrumbs,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
breakfast,12.0,26.0,8.0,24.0,3.0,14.0,16,1.0,3.0,6.0,7.0,0.0,0,0,5,22
brie,41.0,0.0,36.0,20.0,0.0,31.0,0,26923.0,0.0,0.0,0.0,0.0,0,0,0,0
brine,1.0,0.0,80.0,25.0,0.0,30.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
brisket,15.0,0.0,59.0,15.0,5.0,16.0,1,1.0,64.0,49.0,13.0,0.0,1,107,1,0
broccoli,0.0,2.0,5.0,5.0,0.0,1.0,0,5.0,0.0,0.0,0.0,0.0,0,0,0,0
broccoli rabe,0.0,2.0,5.0,7.0,0.0,2.0,0,6.0,0.0,0.0,0.0,0.0,0,0,0,0
brown rice,5.0,28.0,14.0,13.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
brussel sprout,0.0,3.0,7.0,8.0,5.0,1.0,148,3.0,4.0,3.0,8.0,94.0,0,0,6,4
buffalo,69.0,1.0,71.0,0.0,0.0,39.0,0,82.0,0.0,0.0,0.0,0.0,0,0,0,0
bulgur,3.0,24.0,25.0,9.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
butter,101.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
buttermilk,1.0,2.0,7.0,0.0,3.0,4.0,0,9.0,4.0,4.0,0.0,1.0,2,9,0,4
butternut squash,0.0,4.0,2.0,5.0,0.0,0.0,0,4.0,0.0,0.0,0.0,24.0,0,0,0,0
cabbage,1.0,1.0,2.0,14.0,3.0,22.0,36,3.0,2.0,1.0,3.0,0.0,0,0,1,1
calvados,41.0,0.0,29.0,0.0,0.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
campari,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
candy,0.0,27.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cantaloupe,0.0,3.0,2.0,2.0,0.0,1.0,0,1.0,0.0,0.0,0.0,40.0,0,0,0,0
capers,0.0,2.0,0.0,7.0,0.0,116.0,0,0.0,0.0,0.0,0.0,4.0,0,0,0,0
caraway,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cardamom,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
carrot,0.0,4.0,2.0,1.0,3.0,3.0,9,3.0,2.0,0.0,6.0,5.0,0,0,4,85
cashew,68.0,11.0,24.0,27.0,49.0,13.0,25,5.0,40.0,17.0,195.0,0.0,0,0,34,0
cauliflower,0.0,2.0,5.0,3.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
caviar,23.0,1.0,49.0,66.0,71.0,65.0,0,21.0,9.0,119.0,12.0,0.0,14,833,13,30
celery,0.0,1.0,0.0,2.0,0.0,5.0,0,3.0,0.0,0.0,0.0,9.0,0,0,0,0
chambord,0.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
champagne,0.0,4.0,0.0,1.0,2.0,0.0,0,1.0,1.0,0.0,4.0,4.0,0,0,0,0
chard,4.0,1.0,4.0,10.0,20.0,15.0,722,4.0,3.0,2.0,21.0,24.0,0,0,16,35
